WordLengthFeature,CharacterFrequencyFeature,FunctionWordFeature,CapitalLetterFeature,UpperCaseFeature,WordFrequencyFeature,PosTagFeature,EmoticonFeature,PostLengthFeature,PrefixSuffixFeature,BlankLineAndParagraphFeature,SentenceLengthFeature,dasBlondinchen_cluster,kaithrun_cluster,livsglaedjen_cluster,saschalobo_cluster,schminktante_cluster,spreemieze_cluster,
0,0,0,0,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,0,0,0,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,1,0,0,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,1,0,0,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,0,1,0,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,0,1,0,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,1,1,0,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,1,1,0,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,0,0,1,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,0,0,1,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,1,0,1,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,1,0,1,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,0,1,1,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,0,1,1,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,1,1,1,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,1,1,1,0,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,0,0,0,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,0,0,0,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,1,0,0,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,1,0,0,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,0,1,0,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,0,1,0,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,1,1,0,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,1,1,0,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,0,0,1,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,0,0,1,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,1,0,1,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,1,0,1,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,0,1,1,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,0,1,1,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,1,1,1,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
1,1,1,1,1,1,0,1,1,1,1,1,0,5,0,3,4,5,
0,0,0,0,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,0,0,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,0,0,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,0,0,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,1,0,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,1,0,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,1,0,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,1,0,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,0,1,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,0,1,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,0,1,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,0,1,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,1,1,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,1,1,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,1,1,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,1,1,0,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,0,0,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,0,0,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,0,0,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,0,0,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,1,0,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,1,0,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,1,0,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,1,0,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,0,1,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,0,1,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,0,1,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,0,1,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,1,1,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,1,1,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,1,1,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,1,1,1,0,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,0,0,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,0,0,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,0,0,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,0,0,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,1,0,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,1,0,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,1,0,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,1,0,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,0,1,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,0,1,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,0,1,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,0,1,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,1,1,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,1,1,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,1,1,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,1,1,0,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,0,0,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,0,0,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,0,0,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,0,0,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,1,0,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,1,0,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,1,0,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,1,0,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,0,1,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,0,1,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,0,1,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,0,1,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,1,1,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,0,1,1,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,1,1,1,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
1,1,1,1,1,1,1,1,1,1,1,1,0,5,0,3,4,5,
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,5,
