WordLengthFeature,CharacterFrequencyFeature,FunctionWordFeature,CapitalLetterFeature,UpperCaseFeature,WordFrequencyFeature,PosTagFeature,EmoticonFeature,PostLengthFeature,PrefixSuffixFeature,BlankLineAndParagraphFeature,SentenceLengthFeature,dasBlondinchen_recall,kaithrun_recall,livsglaedjen_recall,saschalobo_recall,schminktante_recall,spreemieze_recall,recall-avg
0,0,0,1,1,1,0,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,0,1,1,1,0,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,0,1,1,1,0,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,0,1,1,1,0,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,1,1,1,1,0,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,1,1,1,1,0,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,1,1,1,1,0,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,1,1,1,1,0,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,0,0,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,0,0,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,0,0,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,0,0,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,1,0,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,1,0,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,1,0,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,1,0,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,0,1,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,0,1,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,0,1,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,0,1,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,1,1,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,1,1,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,1,1,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,1,1,0,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,0,0,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,0,0,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,0,0,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,0,0,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,1,0,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,1,0,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,1,0,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,1,0,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,0,1,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,0,1,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,0,1,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,0,1,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,1,1,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,1,1,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,1,1,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,1,1,1,0,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,0,0,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,0,0,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,0,0,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,0,0,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,1,0,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,1,0,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,1,0,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,1,0,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,0,1,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,0,1,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,0,1,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,0,1,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,1,1,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,1,1,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,1,1,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,1,1,0,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,0,0,1,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,0,0,1,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,0,0,1,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,0,0,1,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,1,0,1,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,1,0,1,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,1,0,1,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,1,0,1,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,0,0,1,1,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,0,0,1,1,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
0,1,0,1,1,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
1,1,0,1,1,1,1,1,1,1,0,1,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.4777777777777777
